country,sftgcode,forecast.year,mean_p,rf.p,threat.p,harff.p,year,imr.normed.ln,mev.regac.ln,postcw,cou.tries5d,pol.cat.fl2,pol.cat.fl3,pol.cat.fl7,pol.durable.ln,gdppcgrow.sr,mev.civtot.ln,ios.iccpr1,wdi.popsize.ln,coup.p,cwar.p,reg.eap,reg.eur,reg.mna,reg.sca,reg.amr,pol.cat.pitf2,pol.cat.pitf3,pol.cat.pitf4,pol.cat.pitf5,pol.cat.pitf6,dis.l4pop.ln,pitf.p,mkl.ever,pit.sftpuhvl2.10.ln,pol.autoc,elc.eliti,elc.elethc,wdi.trade.ln,reg.afr,mkl.ongoing,countryage.ln,pol.cat.fl1,elf.ethnicc1,elf.ethnicc2,elf.ethnicc3,elf.ethnicc9,elc.eleth1,elc.eleth2,date,mean_pPER,rf.pPER,threat.pPER,harff.pPER,imr.normed.lnPER,mev.regac.lnPER,postcwPER,cou.tries5dPER,pol.cat.fl2PER,pol.cat.fl3PER,pol.cat.fl7PER,pol.durable.lnPER,gdppcgrow.srPER,mev.civtot.lnPER,ios.iccpr1PER,wdi.popsize.lnPER,coup.pPER,cwar.pPER,reg.eapPER,reg.eurPER,reg.mnaPER,reg.scaPER,reg.amrPER,pol.cat.pitf2PER,pol.cat.pitf3PER,pol.cat.pitf4PER,pol.cat.pitf5PER,pol.cat.pitf6PER,dis.l4pop.lnPER,pitf.pPER,mkl.everPER,pit.sftpuhvl2.10.lnPER,pol.autocPER,elc.elitiPER,elc.elethcPER,wdi.trade.lnPER,reg.afrPER,mkl.ongoingPER,countryage.lnPER,pol.cat.fl1PER,elf.ethnicc1PER,elf.ethnicc2PER,elf.ethnicc3PER,elf.ethnicc9PER,elc.eleth1PER,elc.eleth2PER
Guinea-Bissau,GNB,2016,0.009575613,0.004,0.010142472,0.014584366,2015,1.543663607,2.772588722,1,1,0,1,0,0.693147181,1.569616569,0,1,7.519692404,0.135041722,0.009356934,0,0,0,0,0,0,0,1,0,0,0,0.05674645,0,1.386294361,0,0,0,3.687426631,1,0,3.737669618,0,0,0,1,0,0,0,4/8/17,0.757,0.677,0.776,0.782,0.975,0.658,0,0.913,0,0.434,0,0.074,0.627,0,0.354,0.099,0.956,0.484,0,0,0,0,0,0,0,0.664,0,0,0,0.782,0,0.782,0,0,0,0.074,0.72,0,0.229,0,0,0,0.683,0,0,0
North Korea,PRK,2016,0.009489101,0.015,0.00520822,0.008259082,2015,0.217301276,2.302585093,1,0,0,0,0,4.219507705,1,0,0,10.12595908,0.01392283,0.022726704,1,0,0,0,0,0,0,0,0,0,0,0.019426009,1,0,1,1,0,2.756840365,0,1,4.219507705,1,1,0,0,0,0,0,4/8/17,0.751,0.888,0.602,0.577,0.583,0.304,0,0,0,0,0,0.894,0.422,0,0,0.689,0.459,0.732,0.881,0,0,0,0,0,0,0,0,0,0,0.447,0.608,0,0.757,0.919,0,0.006,0,0.956,0.577,0.875,0.708,0,0,0,0,0
Nepal,NEP,2016,0.008946644,0.003,0.005424168,0.018415765,2015,0.719815428,3.091042453,1,0,0,1,0,2.302585093,1.479753131,0,1,10.25815047,0.020324293,0.018156368,0,0,0,1,0,0,1,0,0,0,0,0.087579136,1,1.609437912,0,0,0,3.967872494,0,0,5.513428746,0,0,0,1,0,0,0,4/8/17,0.745,0.621,0.627,0.85,0.695,0.813,0,0,0,0.434,0,0.236,0.602,0,0.354,0.72,0.571,0.639,0,0,0,0.931,0,0,0.869,0,0,0,0,0.906,0.608,0.819,0,0,0,0.198,0,0,0.913,0,0,0,0.683,0,0,0
Niger,NIR,2016,0.008627759,0.004,0.009169203,0.012714072,2015,1.490486522,2.397895273,1,0,0,1,0,1.609437912,0.934534827,0,1,9.898424758,0.046030774,0.018000862,0,0,0,0,0,0,0,1,0,0,0,0.056413714,0,1.386294361,0,0,0,3.997936079,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.739,0.677,0.739,0.739,0.962,0.596,0,0,0,0.434,0,0.18,0.397,0,0.354,0.645,0.813,0.633,0,0,0,0,0,0,0,0.664,0,0,0,0.763,0,0.782,0,0,0,0.236,0.72,0,0.397,0,0,0,0.683,0,0,0
Congo-Brazzaville,CON,2016,0.008589312,0.004,0.01007264,0.011695295,2015,1.111733214,2.197224577,1,0,1,0,0,2.944438979,0.552601898,0,1,8.438149984,0.039297327,0.022318644,0,0,0,0,0,0,0,0,0,0,3.091042453,0.04464136,1,0,1,0,1,4.964517333,1,0,4.025351691,0,0,0,1,0,1,0,4/8/17,0.732,0.677,0.77,0.708,0.857,0.211,0,0,0.745,0,0,0.422,0.273,0,0.354,0.254,0.763,0.708,0,0,0,0,0,0,0,0,0,0,0.925,0.695,0.608,0,0.757,0,0.683,0.9,0.72,0,0.397,0,0,0,0.683,0,0.757,0
Togo,TOG,2016,0.008581265,0.006,0.009971919,0.009771874,2015,0.864209933,2.772588722,1,0,1,0,0,3.135494216,1.580979215,0,1,8.896314324,0.027480147,0.028460589,0,0,0,0,0,1,0,0,0,0,0,0.037504849,0,0,1,0,1,5.018498456,1,0,4.025351691,0,0,0,1,0,0,1,4/8/17,0.726,0.776,0.763,0.639,0.739,0.658,0,0,0.745,0,0,0.509,0.633,0,0.354,0.391,0.677,0.782,0,0,0,0,0,0.906,0,0,0,0,0,0.639,0,0,0.757,0,0.683,0.919,0.72,0,0.397,0,0,0,0.683,0,0,0.931
Algeria,ALG,2016,0.008501102,0.003,0.009427623,0.013075683,2015,0.096240069,2.833213344,1,0,1,0,0,2.48490665,1.304925754,0,1,10.58827489,0.018117272,0.035985661,0,0,1,0,0,1,0,0,0,0,0,0.040393322,1,0,0,1,1,4.135334775,0,0,3.988984047,0,0,1,0,0,1,0,4/8/17,0.72,0.621,0.751,0.745,0.54,0.745,0,0,0.745,0,0,0.291,0.546,0,0.354,0.795,0.534,0.819,0,0,0.894,0,0,0.906,0,0,0,0,0,0.677,0.608,0,0,0.919,0.683,0.304,0,0,0.341,0,0,0.652,0,0,0.757,0
Bhutan,BHU,2016,0.008142296,0,0.005397439,0.019029449,2015,0.633686274,3.091042453,1,0,1,0,0,2.079441542,2.440080831,0,0,6.652863029,0.031067875,0.013359287,0,0,0,1,0,1,0,0,0,0,3.583518938,0.073758024,0,0,0,0,1,4.53927202,0,0,4.875197323,0,0,1,0,0,0,1,4/8/17,0.714,0,0.621,0.869,0.639,0.813,0,0,0.745,0,0,0.217,0.962,0,0,0.018,0.714,0.534,0,0,0,0.931,0,0.906,0,0,0,0,0.968,0.844,0,0,0,0,0.683,0.627,0,0,0.732,0,0,0.652,0,0,0,0.931
Djibouti,DJI,2016,0.008129532,0.013,0.005754709,0.005633887,2015,0.938349496,2.833213344,1,0,1,0,0,2.833213344,1.897161605,0,1,6.788971743,0.02987891,0.014726747,0,0,0,0,0,0,0,1,0,0,0,0.035578982,0,0,0,0,0,4.899613012,1,0,3.663561646,0,0,0,1,0,0,0,4/8/17,0.708,0.869,0.658,0.422,0.77,0.745,0,0,0.745,0,0,0.391,0.819,0,0.354,0.037,0.701,0.577,0,0,0,0,0,0,0,0.664,0,0,0,0.602,0,0,0,0,0,0.881,0.72,0,0.192,0,0,0,0.683,0,0,0
Gambia,GAM,2016,0.008086309,0.001,0.017747089,0.005511839,2015,1.209989827,2.772588722,1,1,1,0,0,2.944438979,1.253684729,0,1,7.596392304,0.099057039,0.021540347,0,0,0,0,0,0,0,0,0,0,0,0.022757469,0,0,1,0,0,4.249487573,1,0,3.931825633,0,0,0,1,0,0,0,4/8/17,0.701,0.44,0.85,0.409,0.894,0.658,0,0.913,0.745,0,0,0.422,0.527,0,0.354,0.111,0.944,0.689,0,0,0,0,0,0,0,0,0,0,0,0.503,0,0,0.757,0,0,0.391,0.72,0,0.31,0,0,0,0.683,0,0,0
Madagascar,MAG,2016,0.007825152,0.002,0.003702918,0.017772537,2015,0.829331833,0,1,0,0,1,0,0.693147181,0.459693077,0,1,10.09555315,0.054251823,0.005969729,0,0,0,0,0,0,1,0,0,0,0,0.113742792,0,1.098612289,0,0,0,4.312910819,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.695,0.571,0.509,0.826,0.726,0,0,0,0,0.434,0,0.074,0.242,0,0.354,0.683,0.863,0.366,0,0,0,0,0,0,0.869,0,0,0,0,0.968,0,0.77,0,0,0,0.422,0.72,0,0.397,0,0,0,0.683,0,0,0
China,CHN,2016,0.007755649,0.003,0.011605453,0.008661493,2015,-0.426412447,3.044522438,1,0,0,0,0,4.204692619,2.524120498,0.693147181,0,14.13093425,0.007697832,0.082960108,1,0,0,0,0,0,0,0,0,0,0.760805829,0.012996071,1,2.708050201,1,1,1,3.726618012,0,0,7.712890961,1,1,0,0,0,1,0,4/8/17,0.689,0.621,0.788,0.602,0.378,0.801,0,0,0,0,0,0.881,0.981,0.832,0,1,0.291,0.993,0.881,0,0,0,0,0,0,0,0,0,0.77,0.316,0.608,0.838,0.757,0.919,0.683,0.093,0,0,1,0.875,0.708,0,0,0,0.757,0
Jordan,JOR,2016,0.007691872,0,0.004647356,0.018428259,2015,-0.227350762,3.258096538,1,0,1,0,0,3.295836866,0.518873412,0,0,8.815518424,0.014205386,0.019794062,0,0,1,0,0,1,0,0,0,0,4.025351691,0.073741918,1,0,1,0,1,4.722891823,0,0,4.248495242,0,0,1,0,0,0,1,4/8/17,0.683,0,0.565,0.857,0.434,0.925,0,0,0.745,0,0,0.664,0.254,0,0,0.366,0.465,0.664,0,0,0.894,0,0,0.906,0,0,0,0,0.981,0.838,0.608,0,0.757,0,0.683,0.751,0,0,0.614,0,0,0.652,0,0,0,0.931
Zambia,ZAM,2016,0.007542386,0.002,0.00544265,0.015184507,2015,1.222740738,1.945910149,1,0,0,1,0,2.708050201,0.705119401,0,1,9.693506988,0.034178362,0.012597609,0,0,0,0,0,0,0,1,0,0,0,0.048016125,0,0,0,0,1,4.366069218,1,0,3.951243719,0,0,0,1,0,1,0,4/8/17,0.677,0.571,0.633,0.807,0.9,0.136,0,0,0,0.434,0,0.341,0.298,0,0.354,0.59,0.732,0.521,0,0,0,0,0,0,0,0.664,0,0,0,0.708,0,0,0,0,0.683,0.472,0.72,0,0.322,0,0,0,0.683,0,0.757,0
Sierra Leone,SIE,2016,0.007389835,0.005,0.006252631,0.010916873,2015,1.324882234,2.772588722,1,0,0,1,0,2.63905733,-4.748459442,0,1,8.772300418,0.040595764,0.012965172,0,0,0,0,0,0,0,1,0,0,0,0.048090886,1,0,0,0,0,3.937062918,1,0,4.007333185,0,0,0,1,0,0,0,4/8/17,0.67,0.732,0.677,0.689,0.937,0.658,0,0,0,0.434,0,0.31,0.006,0,0.354,0.354,0.776,0.527,0,0,0,0,0,0,0,0.664,0,0,0,0.714,0.608,0,0,0,0,0.192,0.72,0,0.378,0,0,0,0.683,0,0,0
Morocco,MOR,2016,0.007366603,0.008,0.009281953,0.004817855,2015,0.213917178,2.833213344,1,0,1,0,0,3.931825633,1.859059365,0,0,10.4451721,0.017533873,0.036211012,0,0,1,0,0,0,0,0,0,0,0,0.020538193,0,0,1,0,0,4.393017155,0,0,4.094344562,0,0,1,0,0,0,0,4/8/17,0.664,0.819,0.745,0.378,0.577,0.745,0,0,0.745,0,0,0.813,0.788,0,0,0.763,0.515,0.826,0,0,0.894,0,0,0,0,0,0,0,0,0.453,0,0,0.757,0,0,0.503,0,0,0.527,0,0,0.652,0,0,0,0
Lebanon,LEB,2016,0.007347194,0.003,0.000853637,0.018187946,2015,-0.8983472,3.258096538,1,0,0,1,0,2.397895273,0.19772398,0,0,8.444192299,0.007800491,0.004824191,0,0,1,0,0,0,1,0,0,0,2.397895273,0.076350446,0,0,0,0,1,4.701759067,0,0,4.290459441,0,1,0,0,0,1,0,4/8/17,0.658,0.621,0.298,0.838,0.26,0.925,0,0,0,0.434,0,0.273,0.211,0,0,0.26,0.298,0.273,0,0,0.894,0,0,0,0.869,0,0,0,0.863,0.857,0,0,0,0,0.683,0.745,0,0,0.627,0,0.708,0,0,0,0.757,0
Malaysia,MAL,2016,0.007344254,0.001,0.006050616,0.014982147,2015,-0.361823686,2.302585093,1,0,1,0,0,2.079441542,1.898855067,0,0,10.31992557,0.018263327,0.022063086,1,0,0,0,0,0,1,0,0,0,0,0.066537469,0,0,0,0,1,4.930552321,0,0,4.077537444,0,0,1,0,0,1,0,4/8/17,0.652,0.44,0.67,0.795,0.397,0.304,0,0,0.745,0,0,0.217,0.826,0,0,0.726,0.546,0.701,0.881,0,0,0,0,0,0.869,0,0,0,0,0.819,0,0,0,0,0.683,0.888,0,0,0.515,0,0,0.652,0,0,0.757,0
Philippines,PHI,2016,0.007328021,0,0.003699032,0.018285032,2015,0.159049259,1.945910149,1,0,0,1,0,3.36729583,1.931613124,1.386294361,1,11.51989115,0.015520147,0.014505721,1,0,0,0,0,0,0,1,0,0,0,0.037298311,1,3.044522438,0,0,1,4.111742131,0,0,4.770684624,0,1,0,0,0,1,0,4/8/17,0.645,0,0.503,0.844,0.552,0.136,0,0,0,0.434,0,0.689,0.857,0.906,0.354,0.931,0.496,0.571,0.881,0,0,0,0,0,0,0.664,0,0,0,0.627,0.608,0.888,0,0,0.683,0.298,0,0,0.726,0,0.708,0,0,0,0.757,0
Gabon,GAB,2016,0.007315896,0,0.008415963,0.013531724,2015,0.882832445,2.772588722,1,0,1,0,0,1.945910149,1.59538401,0,0,7.452982329,0.041620836,0.017608637,0,0,0,0,0,0,1,0,0,0,0,0.092933874,0,0,0,0,0,4.43436628,1,0,4.025351691,0,0,0,1,0,0,0,4/8/17,0.639,0,0.72,0.757,0.751,0.658,0,0,0.745,0,0,0.204,0.639,0,0,0.093,0.795,0.627,0,0,0,0,0,0,0.869,0,0,0,0,0.919,0,0,0,0,0,0.54,0.72,0,0.397,0,0,0,0.683,0,0,0
Thailand,THI,2016,0.006964701,0.004,0.014008025,0.002886076,2015,-0.682446308,2.197224577,1,1,1,0,0,0.693147181,1.596398846,0.693147181,0,11.12665986,0.05811059,0.024256676,1,0,0,0,0,0,0,0,0,0,0,0.009664967,0,3.17805383,1,0,0,4.881136555,0,0,6.501289671,0,0,0,1,0,0,0,4/8/17,0.633,0.677,0.801,0.273,0.322,0.211,0,0.913,0.745,0,0,0.074,0.645,0.832,0,0.881,0.875,0.757,0.881,0,0,0,0,0,0,0,0,0,0,0.267,0,0.913,0.757,0,0,0.869,0,0,0.956,0,0,0,0.683,0,0,0
Russia,RUS,2016,0.006860093,0.005,0.005190119,0.01039016,2015,-1.00571431,2.197224577,1,0,1,0,0,2.772588722,-1.935572028,0.693147181,1,11.87627608,0.010929118,0.026889226,0,1,0,0,0,0,0,1,0,0,0.470003629,0.015579727,1,2.833213344,0,0,1,3.968263413,0,0,3.218875825,0,1,0,0,0,1,0,4/8/17,0.627,0.732,0.59,0.67,0.242,0.211,0,0,0.745,0,0,0.36,0.068,0.832,0.354,0.95,0.385,0.77,0,0.751,0,0,0,0,0,0.664,0,0,0.757,0.378,0.608,0.857,0,0,0.683,0.217,0,0,0.049,0,0.708,0,0,0,0.757,0
Colombia,COL,2016,0.006826504,0.006,0.001253627,0.013225884,2015,-0.267678808,0,1,0,0,1,0,4.077537444,1.387444282,1.609437912,1,10.78371578,0.015039881,0.004588317,0,0,0,0,1,0,1,0,0,0,0,0.03625073,1,3.526360525,0,0,0,3.623705938,0,0,5.283203729,0,0,1,0,0,0,0,4/8/17,0.621,0.776,0.378,0.751,0.428,0,0,0,0,0.434,0,0.85,0.552,0.925,0.354,0.832,0.484,0.26,0,0,0,0,0.85,0,0.869,0,0,0,0,0.608,0.608,0.962,0,0,0,0.055,0,0,0.875,0,0,0.652,0,0,0,0
Indonesia,INS,2016,0.006786034,0.004,0.006254446,0.010103655,2015,0.242735209,2.302585093,1,0,0,1,0,2.833213344,1.855124616,0,0,12.45902351,0.017921597,0.023182388,1,0,0,0,0,0,0,1,0,0,0.336472237,0.04148012,1,0,0,0,0,3.875388683,0,0,4.204692619,0,0,0,1,0,0,0,4/8/17,0.614,0.677,0.683,0.658,0.596,0.304,0,0,0,0.434,0,0.391,0.776,0,0,0.981,0.521,0.739,0.881,0,0,0,0,0,0,0.664,0,0,0.751,0.683,0.608,0,0,0,0,0.149,0,0,0.565,0,0,0,0.683,0,0,0
Bolivia,BOL,2016,0.006782615,0,0.002401602,0.017946244,2015,0.676744696,1.609437912,1,0,0,1,0,3.526360525,1.68698671,0,1,9.280332744,0.020347692,0.007488904,0,0,0,0,1,0,1,0,0,0,0,0.064039927,0,0,0,0,1,4.445757836,0,0,5.252273428,0,0,0,1,0,1,0,4/8/17,0.608,0,0.478,0.832,0.658,0.068,0,0,0,0.434,0,0.72,0.726,0,0.354,0.49,0.577,0.416,0,0,0,0,0.85,0,0.869,0,0,0,0,0.801,0,0,0,0,0.683,0.559,0,0,0.844,0,0,0,0.683,0,0.757,0
Equatorial Guinea,EQG,2016,0.0065721,0.007,0.005520496,0.007195806,2015,1.289237708,2.772588722,1,0,0,0,0,3.850147602,-3.812444918,0,1,6.739336627,0.030066638,0.014013279,0,0,0,0,0,0,0,0,0,0,0,0.02420757,1,0,1,0,1,5.092258339,1,0,3.871201011,1,0,1,0,0,0,1,4/8/17,0.602,0.801,0.645,0.509,0.919,0.658,0,0,0,0,0,0.788,0.012,0,0.354,0.031,0.708,0.559,0,0,0,0,0,0,0,0,0,0,0,0.509,0.608,0,0.757,0,0.683,0.95,0.72,0,0.273,0.875,0,0.652,0,0,0,0.931
Eritrea,ERI,2016,0.006321879,0.003,0.010375766,0.00558987,2015,0.677811079,2.197224577,1,1,0,0,0,3.135494216,1.194813994,0,0,8.561784075,0.065987697,0.015953194,0,0,0,0,0,0,0,0,0,0,0,0.01584347,0,0,1,0,0,3.62513834,1,0,3.135494216,1,0,0,1,0,0,0,4/8/17,0.596,0.621,0.782,0.416,0.67,0.211,0,0.913,0,0,0,0.509,0.496,0,0,0.291,0.888,0.614,0,0,0,0,0,0,0,0,0,0,0,0.385,0,0,0.757,0,0,0.062,0.72,0,0.024,0.875,0,0,0.683,0,0,0
Venezuela,VEN,2016,0.006003185,0.001,0.008267918,0.008741637,2015,-0.007638652,1.609437912,1,0,1,0,0,1.098612289,-2.674425973,0,1,10.3452203,0.03263864,0.020526383,0,0,0,0,1,0,1,0,0,0,0,0.038112616,0,0,0,0,0,3.99411459,0,0,5.225746674,0,0,1,0,0,0,0,4/8/17,0.59,0.44,0.714,0.621,0.503,0.068,0,0,0.745,0,0,0.13,0.031,0,0.354,0.732,0.72,0.67,0,0,0,0,0.85,0,0.869,0,0,0,0,0.645,0,0,0,0,0,0.229,0,0,0.826,0,0,0.652,0,0,0,0
Tunisia,TUN,2016,0.005906843,0.008,0.00299071,0.006729819,2015,0.159496787,2.833213344,1,0,0,1,0,0.693147181,-0.468445923,0,1,9.316230747,0.021228504,0.009219427,0,0,1,0,0,0,0,1,0,0,0,0.038220959,0,0,0,0,0,4.605179879,0,0,4.094344562,0,1,0,0,0,0,0,4/8/17,0.583,0.819,0.496,0.496,0.559,0.745,0,0,0,0.434,0,0.074,0.186,0,0.354,0.515,0.596,0.478,0,0,0.894,0,0,0,0,0.664,0,0,0,0.652,0,0,0,0,0,0.664,0,0,0.527,0,0.708,0,0,0,0,0
Malawi,MAW,2016,0.005859657,0,0.00397563,0.013603339,2015,0.886948122,1.945910149,1,0,0,1,0,3.091042453,0.260846726,0,1,9.753536376,0.025650588,0.010978886,0,0,0,0,0,0,1,0,0,0,0,0.100187295,1,0,0,0,0,4.624090259,1,0,3.951243719,0,0,0,1,0,0,0,4/8/17,0.577,0,0.515,0.763,0.757,0.136,0,0,0,0.434,0,0.484,0.223,0,0.354,0.608,0.67,0.509,0,0,0,0,0,0,0.869,0,0,0,0,0.937,0.608,0,0,0,0,0.689,0.72,0,0.322,0,0,0,0.683,0,0,0
Laos,LAO,2016,0.005781541,0.004,0.00729814,0.006046482,2015,1.022396181,2.302585093,1,0,0,0,0,3.713572067,2.239351377,0,0,8.824971966,0.025615559,0.021280208,1,0,0,0,0,0,0,0,0,0,0,0.036302692,1,0,1,1,0,4.501298623,0,0,4.204692619,1,0,1,0,0,0,0,4/8/17,0.571,0.677,0.701,0.453,0.813,0.304,0,0,0,0,0,0.745,0.913,0,0,0.372,0.664,0.683,0.881,0,0,0,0,0,0,0,0,0,0,0.614,0.608,0,0.757,0.919,0,0.596,0,0,0.565,0.875,0,0.652,0,0,0,0
Oman,OMA,2016,0.005747567,0.012,0.002293496,0.002949205,2015,-0.340942987,3.258096538,1,0,0,0,0,4.077537444,0.878531186,0,0,8.409830673,0.008091516,0.01371524,0,0,1,0,0,0,0,0,0,0,0,0.012758972,0,0,1,0,0,4.748535959,0,0,5.902633333,1,0,1,0,0,0,0,4/8/17,0.565,0.857,0.465,0.279,0.416,0.925,0,0,0,0,0,0.85,0.372,0,0,0.236,0.31,0.54,0,0,0.894,0,0,0,0,0,0,0,0,0.31,0,0,0.757,0,0,0.788,0,0,0.919,0.875,0,0.652,0,0,0,0
Ecuador,ECU,2016,0.005528856,0.005,0.004881949,0.006704617,2015,-0.092009414,1.609437912,1,0,1,0,0,2.772588722,-1.234955415,0,1,9.689303743,0.021064424,0.015785196,0,0,0,0,1,0,0,1,0,0,3.384390263,0.027435356,0,0,0,0,0,4.072028079,0,0,5.225746674,0,0,0,1,0,0,0,4/8/17,0.559,0.732,0.571,0.49,0.459,0.068,0,0,0.745,0,0,0.36,0.111,0,0.354,0.583,0.583,0.608,0,0,0,0,0.85,0,0,0.664,0,0,0.962,0.546,0,0,0,0,0,0.279,0,0,0.826,0,0,0,0.683,0,0,0
Tajikistan,TAJ,2016,0.00548369,0.001,0.009081283,0.006369788,2015,0.576970044,3.091042453,1,0,1,0,0,2.890371758,0.937719804,0,1,9.04570155,0.022830232,0.029312177,0,0,0,1,0,1,0,0,0,0,0,0.032001525,0,0,1,0,0,4.471760054,0,0,3.218875825,0,0,1,0,0,0,0,4/8/17,0.552,0.44,0.726,0.465,0.633,0.813,0,0,0.745,0,0,0.403,0.403,0,0.354,0.422,0.627,0.788,0,0,0,0.931,0,0.906,0,0,0,0,0,0.577,0,0,0.757,0,0,0.577,0,0,0.049,0,0,0.652,0,0,0,0
South Africa,SAF,2016,0.005422166,0,0.004350656,0.011915841,2015,0.548874951,1.945910149,1,0,0,1,0,3.091042453,-0.690454169,0,1,10.9108431,0.021090763,0.013914717,0,0,0,0,0,0,0,1,0,0,0,0.028611941,1,0,0,0,1,4.164549477,1,0,4.663439094,0,0,0,1,0,1,0,4/8/17,0.546,0,0.546,0.72,0.627,0.136,0,0,0,0.434,0,0.484,0.155,0,0.354,0.857,0.59,0.552,0,0,0,0,0,0,0,0.664,0,0,0,0.552,0.608,0,0,0,0.683,0.335,0.72,0,0.695,0,0,0,0.683,0,0.757,0
Kazakhstan,KZK,2016,0.005177888,0.001,0.005158002,0.009375661,2015,0.093376105,3.091042453,1,0,0,0,0,3.218875825,-0.579289995,0,1,9.770298958,0.011898593,0.025143609,0,0,0,1,0,0,0,0,0,0,3.218875825,0.021097722,0,0,1,0,1,4.174450528,0,0,3.218875825,1,0,1,0,0,1,0,4/8/17,0.54,0.44,0.583,0.633,0.534,0.813,0,0,0,0,0,0.565,0.173,0,0.354,0.614,0.422,0.763,0,0,0,0.931,0,0,0,0,0,0,0.95,0.465,0,0,0.757,0,0.683,0.347,0,0,0.049,0.875,0,0.652,0,0,0.757,0
Kenya,KEN,2016,0.005157527,0.001,0.006997219,0.007475363,2015,0.725928539,3.218875825,1,0,0,1,0,2.63905733,1.632660416,0,0,10.73748304,0.022310895,0.022421199,0,0,0,0,0,0,0,1,0,0,0,0.029124905,0,0,0,0,0,3.917547808,1,0,3.970291914,0,0,0,1,0,0,0,4/8/17,0.534,0.44,0.695,0.534,0.701,0.894,0,0,0,0.434,0,0.31,0.67,0,0,0.819,0.614,0.72,0,0,0,0,0,0,0,0.664,0,0,0,0.559,0,0,0,0,0,0.18,0.72,0,0.335,0,0,0,0.683,0,0,0
Uzbekistan,UZB,2016,0.005078065,0.005,0.005208114,0.005026081,2015,0.007580745,3.091042453,1,0,0,0,0,3.218875825,2.59217441,0,1,10.34785281,0.009709777,0.029356695,0,0,0,1,0,0,0,0,0,0,0,0.009426749,0,0,1,1,1,3.926049195,0,0,3.218875825,1,0,1,0,0,1,0,4/8/17,0.527,0.732,0.596,0.385,0.509,0.813,0,0,0,0,0,0.565,0.987,0,0.354,0.739,0.347,0.795,0,0,0,0.931,0,0,0,0,0,0,0,0.26,0,0,0.757,0.919,0.683,0.186,0,0,0.049,0.875,0,0.652,0,0,0.757,0
Azerbaijan,AZE,2016,0.004896993,0.001,0.005266026,0.008424952,2015,0.298382945,3.258096538,1,0,0,0,0,3.044522438,0.545519631,0,1,9.174816816,0.013121114,0.023990885,0,1,0,0,0,0,0,0,0,0,0,0.0179901,1,0,1,0,1,4.241459192,0,0,3.218875825,1,1,0,0,0,1,0,4/8/17,0.521,0.44,0.614,0.59,0.602,0.925,0,0,0,0,0,0.478,0.26,0,0.354,0.447,0.447,0.751,0,0.751,0,0,0,0,0,0,0,0,0,0.416,0.608,0,0.757,0,0.683,0.385,0,0,0.049,0.875,0.708,0,0,0,0.757,0
Armenia,ARM,2016,0.004750058,0.001,0.002932415,0.01031776,2015,-0.343899382,3.258096538,1,0,1,0,0,2.890371758,1.680708853,0,1,8.012349639,0.011152256,0.014256264,0,1,0,0,0,0,1,0,0,0,0,0.058977927,0,0,0,0,0,4.322606971,0,0,3.218875825,0,1,0,0,0,0,0,4/8/17,0.515,0.44,0.49,0.664,0.409,0.925,0,0,0.745,0,0,0.403,0.714,0,0.354,0.18,0.409,0.565,0,0.751,0,0,0,0,0.869,0,0,0,0,0.788,0,0,0,0,0,0.434,0,0,0.049,0,0.708,0,0,0,0,0
Vietnam,VIE,2016,0.004539276,0.005,0.006049085,0.002568742,2015,-0.035522496,2.302585093,1,0,0,0,0,4.127134385,2.360994985,0,0,11.42643032,0.011138937,0.031338708,1,0,0,0,0,0,0,0,0,0,0,0.015932502,1,0,1,1,0,5.133056524,0,0,3.688879454,1,1,0,0,0,0,0,4/8/17,0.509,0.732,0.664,0.242,0.478,0.304,0,0,0,0,0,0.863,0.937,0,0,0.919,0.397,0.801,0.881,0,0,0,0,0,0,0,0,0,0,0.391,0.608,0,0.757,0.919,0,0.968,0,0,0.198,0.875,0.708,0,0,0,0,0
Turkmenistan,TKM,2016,0.004398108,0.003,0.00544605,0.004748273,2015,0.658711641,3.091042453,1,0,0,0,0,3.218875825,2.242672901,0,1,8.589327789,0.01567273,0.021933457,0,0,0,1,0,0,0,0,0,0,2.079441542,0.025304684,0,0,1,0,0,4.767725071,0,0,3.218875825,1,0,1,0,0,0,0,4/8/17,0.503,0.621,0.639,0.366,0.645,0.813,0,0,0,0,0,0.565,0.919,0,0.354,0.298,0.509,0.695,0,0,0,0.931,0,0,0,0,0,0,0.857,0.527,0,0,0.757,0,0,0.807,0,0,0.049,0.875,0,0.652,0,0,0,0
Liberia,LBR,2016,0.004332968,0,0.005667836,0.007331067,2015,1.264798064,2.772588722,1,0,0,1,0,2.302585093,-1.58740371,0,0,8.41249912,0.04322462,0.01114306,0,0,0,0,0,0,0,1,0,0,0,0.045942337,1,0,0,0,0,4.786829162,1,0,5.129898715,0,0,0,1,0,0,0,4/8/17,0.496,0,0.652,0.515,0.913,0.658,0,0,0,0.434,0,0.236,0.074,0,0,0.242,0.807,0.515,0,0,0,0,0,0,0,0.664,0,0,0,0.701,0.608,0,0,0,0,0.826,0.72,0,0.788,0,0,0,0.683,0,0,0
